frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 0 492.75 185.87 948.45 654.03 Fixation 844480466 Scene
1 1 494.82 186.52 941.87 657.68 Fixation 844497094 Scene
1 1 495.57 184.57 942.79 655.54 Fixation 844513696 Scene
2 2 498.85 183.89 944.79 656.18 Fixation 844530250 Scene
2 2 500.35 180.21 946.49 652.05 Fixation 844546904 Scene
3 3 505.39 180.6 951.35 653.53 Fixation 844563434 Scene
3 3 502.69 177.3 948.74 650.3 Fixation 844580052 Scene
3 3 504.82 173.78 NaN NaN Saccade 844596586 NA
4 4 504.38 169.74 NaN NaN Saccade 844613170 NA
5 4 31153.4 17976.12 NaN NaN Saccade 844629850 NA
5 4 507.42 165.89 NaN NaN Saccade 844646430 NA
6 5 503.38 159.53 NaN NaN Saccade 844663163 NA
6 5 503.26 156.99 NaN NaN Saccade 844679653 NA
7 6 1145.5 1264 NaN NaN Saccade 844696184 NA
7 6 1275.09 1377.05 NaN NaN Saccade 844712821 NA
8 7 497.33 152.43 NaN NaN Saccade 844729389 NA
8 7 497.7 152.65 937.73 655.05 Fixation 844745859 Scene
9 8 493.8 152 935.16 649.59 Fixation 844762674 Scene
9 8 492.34 152.04 933.75 649.67 Fixation 844779330 Scene
10 9 489.61 154.09 905.55 645.77 Fixation 844795782 Scene
10 9 488.75 155.13 903.85 646.57 Fixation 844812389 Scene
11 9 487.67 155.97 940.67 651.4 Fixation 844828864 Scene
11 9 485.83 157.09 938.91 652.47 Fixation 844845495 Scene
11 9 484.06 156.14 937.27 651.54 Fixation 844862330 Scene
12 10 483.4 159.39 938.96 650.94 Fixation 844878674 Scene
13 11 484.23 159.53 NaN NaN Saccade 844896280 NA
13 11 127.91 307.48 NaN NaN Saccade 844911935 NA
14 12 129.11 307.66 NaN NaN Saccade 844928723 NA
14 12 128.94 307.12 NaN NaN Saccade 844945281 NA
15 13 129.9 306.54 NaN NaN Saccade 844961790 NA
15 13 489.59 163.71 NaN NaN Saccade 844978337 NA
16 14 143.97 312.09 NaN NaN Saccade 844995118 NA
16 14 497.56 160.72 NaN NaN Saccade 845011639 NA
17 14 498.97 155.89 NaN NaN Saccade 845028068 NA
17 14 504.47 155.17 961.24 634.66 Fixation 845044707 Scene
17 14 503.47 150.66 960.45 629.89 Fixation 845061265 Scene
18 15 506.71 149.1 954.78 634.95 Fixation 845078012 Scene
18 15 507.05 145.38 955.38 631.07 Fixation 845094547 Scene
19 16 509.22 143.81 947.46 636.05 Fixation 845111098 Scene
20 17 510.48 141.85 948.42 642.47 Fixation 845127724 Scene
20 17 519.91 141.14 957.46 641.73 Fixation 845144295 Scene
21 18 512.31 138.25 944.96 642.72 Fixation 845160943 Scene
21 18 511.85 136.99 944.64 641.41 Fixation 845177468 Scene
22 19 515.92 138.38 996.97 638.1 Fixation 845194176 Scene
22 19 513.06 137.86 993.59 637.46 Fixation 845210616 Scene
23 19 510.93 142.01 942.2 651.76 Fixation 845227368 Scene
23 19 509.76 143.5 940.96 653.3 Fixation 845243783 Scene
23 19 507.94 146.5 938.96 656.42 Fixation 845260404 Scene
24 20 507.41 149.41 940.98 656.71 Fixation 845277065 Scene
25 21 503.78 153.31 936.84 655.29 Fixation 845293616 Scene
25 21 504.16 156.5 936.82 658.65 Fixation 845310277 Scene
26 22 502.45 159.63 942.63 652.26 Fixation 845326752 Scene
